Rank,Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Model Family
1,Tuned Random Forest,0.948108,0.945314,0.829592,0.945314,0.879829,Random Forest
2,Tuned MLP Neural Network,0.9346679418626556,0.9452562504073376,0.7955005339256737,0.9452562504073376,0.8567806179090193,MLP Neural Network
3,Balanced-Training MLP Neural Network,0.9338926806648408,0.944863865055944,0.7957389943913326,0.944863865055944,0.8566138987492122,MLP Neural Network
4,Class-Weighted Logistic Regression,0.8334,0.8989,0.6325,0.8989,0.7064,Logistic Regression
5,Tuned Logistic Regression,0.8334,0.8989,0.6325,0.8989,0.7064,Logistic Regression
6,Class-Weighted Linear SVM,0.8928110826124128,0.8813948151783051,0.709207675180871,0.8813948151783051,0.7731184324069456,SVM
7,Tuned Linear SVM,0.8928110826124128,0.8813948151783051,0.709207675180871,0.8813948151783051,0.7731184324069456,SVM
8,Baseline Random Forest,0.966171,0.865409,0.95684,0.865409,0.906597,Random Forest
9,Class-Weighted Random Forest,0.96528,0.865024,0.951907,0.865024,0.904279,Random Forest
10,Baseline MLP Neural Network,0.9655117448448752,0.8636942166291971,0.954728290276472,0.8636942166291971,0.9046788202462992,MLP Neural Network
11,Baseline Logistic Regression,0.9526,0.8428,0.904,0.8428,0.8712,Logistic Regression
12,Baseline Linear SVM,0.922075381471982,0.6409771472984754,0.9400120054134864,0.6409771472984754,0.7307476681798653,SVM
